character	code_point	kMandarin17	CNS11643	policy
鰎	U+9C0E	jiǎn	jiàn	kMandarin17 retained
鰏	U+9C0F	bī	bì	kMandarin17 retained
鰓	U+9C13	sāi	xǐ sāi	kMandarin17 retained
鰔	U+9C14	gǎn	jiǎn	kMandarin17 retained
鰕	U+9C15	xiā	há xiā	kMandarin17 retained
鰖	U+9C16	tuǒ	tuǒ wěi	kMandarin17 retained
鰜	U+9C1C	qiàn	jiān	kMandarin17 retained
鰟	U+9C1F	fáng	páng fáng	kMandarin17 retained
鰥	U+9C25	guān	guān guàn	kMandarin17 retained
鰨	U+9C28	tǎ	tà	kMandarin17 retained
鰪	U+9C2A	é	gé é	kMandarin17 retained
鰫	U+9C2B	yóng	róng	kMandarin17 retained
鰵	U+9C35	mǐn	miǎn wǎn	kMandarin17 retained
鰺	U+9C3A	shēn	sāo	kMandarin17 retained
鰽	U+9C3D	qiú	jiù qiú	kMandarin17 retained
鰿	U+9C3F	jì	jí	kMandarin17 retained
鱂	U+9C42	jiāng	chāng	kMandarin17 retained
鱃	U+9C43	xiū	qiū xiū	kMandarin17 retained
鱅	U+9C45	yōng	róng yóng	kMandarin17 retained
鱊	U+9C4A	yù	jué yù	kMandarin17 retained
鱎	U+9C4E	jiǎo	jiāo jiǎo	kMandarin17 retained
鱒	U+9C52	zūn	zùn	kMandarin17 retained
鱖	U+9C56	guì	guì jué	kMandarin17 retained
鱚	U+9C5A	xǐ	xī xǐ	kMandarin17 retained
鱡	U+9C61	zéi	zé	kMandarin17 retained
鱣	U+9C63	zhān	zhān shàn	kMandarin17 retained
鱥	U+9C65	guì	guì jué	kMandarin17 retained
鱦	U+9C66	yìng	shéng	kMandarin17 retained
鱯	U+9C6F	hù	hú hù	kMandarin17 retained
鱲	U+9C72	liè	là	kMandarin17 retained
鱳	U+9C73	lì	lì lù luò	kMandarin17 retained
鱻	U+9C7B	xiān	xiān xiǎn	kMandarin17 retained
鲁	U+9C81	lǔ	lǔ lǚ	kMandarin17 retained
鲃	U+9C83	bā	bā bà	kMandarin17 retained
鲄	U+9C84	hé	gě hé	kMandarin17 retained
鲅	U+9C85	bà	bà bō	kMandarin17 retained
鲊	U+9C8A	zhǎ	zhǎ zhà	kMandarin17 retained
鲋	U+9C8B	fù	fù chóu	kMandarin17 retained
鲌	U+9C8C	bó	bà bó	kMandarin17 retained
鲍	U+9C8D	bào	bāo bào	kMandarin17 retained
鲏	U+9C8F	pí	pī pí pì	kMandarin17 retained
鲑	U+9C91	guī	guī guì xié	kMandarin17 retained
鲒	U+9C92	jié	jié qià	kMandarin17 retained
鲜	U+9C9C	xiān	xiān xiǎn xiàn	kMandarin17 retained
鲞	U+9C9E	xiǎng	xiǎng zhèn	kMandarin17 retained
鲡	U+9CA1	lí	lí lǐ	kMandarin17 retained
鲫	U+9CAB	jì	jì zéi	kMandarin17 retained
鲭	U+9CAD	qīng	qīng zhēng	kMandarin17 retained
鲱	U+9CB1	fēi	fēi fèi	kMandarin17 retained
鲹	U+9CB9	shēn	shēn sāo	kMandarin17 retained
鲽	U+9CBD	dié	dié qiè	kMandarin17 retained
鳃	U+9CC3	sāi	xǐ sāi	kMandarin17 retained
鳎	U+9CCE	tǎ	dié tǎ	kMandarin17 retained
鳏	U+9CCF	guān	guān guàn	kMandarin17 retained
鳑	U+9CD1	páng	páng fáng	kMandarin17 retained
鳒	U+9CD2	jiān	jiān qiàn	kMandarin17 retained
鳜	U+9CDC	guì	guì jué	kMandarin17 retained
鳣	U+9CE3	zhān	zhān shān	kMandarin17 retained
